    EventNumber         parName  parEnergy (MeV)        parWeight       pos_x (cm)       pos_y (cm)       pos_z (cm)               ux               uy               uz
           6745         neutron         0.406226       0.00103505        0.0134582          1.17919         0.502086         0.136351         0.796424         0.589167
           6854         neutron          5.28147       0.00100781          0.53232        -0.815717         0.500462         0.375223        -0.871544        -0.315625
           6881         neutron          1.49766       0.00103321       -0.0338452         0.496647         0.501939         0.439364         0.895171        0.0750221
           6900         neutron          1.84921       0.00102927         0.673275       -0.0442686         0.501712         0.329726         0.938558         0.101925
           6961         neutron          0.97961       0.00102218        -0.308818         0.195456         0.501302         0.348758         0.808282        -0.474393
           6972         neutron         0.596149       0.00104255        -0.969738         0.503512          0.50289        -0.489417         0.852921         0.181649
           7062         neutron          1.82768       0.00102875         -1.06768          1.10933         0.501682        -0.903716        -0.124408         0.409658
           7066         neutron         0.927507       0.00102565        -0.361938         0.153561         0.501503        -0.247995         0.962637        -0.108762
           7097         neutron          3.37098       0.00103789         0.932594        -0.691844         0.502397         -0.86161       -0.0257307        -0.506919
           7101         neutron          1.79649       0.00103799        -0.828143         0.383853         0.502406         0.463167         0.491471        -0.737518
           7136         neutron          1.85304       0.00101548        -0.338937        -0.964413         0.500912        -0.281327         0.821756         0.495553
           7186         neutron           3.7655       0.00101322         0.318674         0.147902          0.50078         0.603495          0.13237         0.786303
           7227         neutron         0.798956       0.00104165        -0.720081         0.915993         0.502774        -0.356124        -0.759815        -0.543928
           7271         neutron         0.573625       0.00101596         0.206663           1.8725          0.50094        0.0498624         0.655004        -0.753978
           7302         neutron          1.48664       0.00101021        0.0131195          1.06354         0.500603        -0.833232       -0.0415304         0.551361
           7321         neutron          2.74691       0.00100373         0.599642        -0.881773         0.500221       -0.0911549         0.128138         0.987558
           7351         neutron          1.23699       0.00103526       -0.0224953         0.151148         0.502107        -0.413098         0.608087         0.677924
           7403         neutron         0.366147       0.00100948         0.767906        -0.994717          0.50056        -0.658061        0.0833284         -0.74834
           7425         neutron          2.53172       0.00102894         0.320439        0.0104754         0.501693         0.343148        -0.015352         0.939156
           7430         neutron          2.22349       0.00100086        0.0778363         0.214064         0.500051         0.625599       -0.0535802         0.778302
           7457         neutron          1.51461       0.00102869        -0.398257          1.08274         0.501679       -0.0757625        -0.969235         0.234188
           7458         neutron          2.07851       0.00103518          -0.6161         0.346445           0.5021         -0.31678         0.125495          0.94016
           7463         neutron           1.2628        0.0010087        -0.138081         0.286521         0.500514       -0.0596028         0.425766         0.902868
           7495         neutron         0.548593        0.0010259        -0.410052        -0.916527         0.501517        -0.314882        -0.930966        -0.184803
           7533         neutron          1.41672         0.001045        -0.215534         0.630713          0.50317          0.60578        -0.665059         0.436723
           7554         neutron          1.22662        0.0010338           0.4572        -0.684415         0.501973         0.437774         0.764648        -0.472934
           7580         neutron          1.89774       0.00100702         0.463014         0.199156         0.500415         0.189118         0.877988        -0.439741
           7612         neutron          2.58253       0.00102582         0.163508        -0.397424         0.501513        -0.742089        -0.523175         0.419036
           7648         neutron          1.86025       0.00103503        -0.824435         -1.02016         0.502081        -0.635247        -0.458441        -0.621525
           7706         neutron          2.90638       0.00102016        -0.230881         0.319989         0.501185         0.554635        -0.296638         0.777423
           7719         neutron          2.38006       0.00102418         0.384606        -0.952948         0.501418         0.571766        -0.171754         0.802237
           7775         neutron        0.0888046       0.00102723        -0.196449         -1.03532         0.501594        -0.292332         0.421381        -0.858475
           7799         neutron          0.48964       0.00103733         0.817306        -0.227524         0.502331         0.303746         0.449249         0.840186
           7811         neutron          1.06381        0.0010413         0.615863         0.184445         0.502758        -0.625487        -0.264295         0.734107
           7812         neutron          3.06074       0.00100044         0.638795          1.17183         0.500026         0.826901         0.511603        -0.233446
           7814         neutron          1.45497       0.00101753         0.420253         0.108983         0.501031         0.315633        -0.912736         0.259402
           7879         neutron          1.75683       0.00102626        -0.376759        0.0128305         0.501539        -0.391255        -0.913537         0.111223
           7900         neutron         0.882596       0.00102444         0.853995          -0.7882         0.501433        -0.316529        -0.934534         0.162652
           7913         neutron          1.74704       0.00103019        -0.253689        -0.297986         0.501765         0.528187         0.156789         0.834527
           7919         neutron         0.858568       0.00104561       -0.0595054        -0.135606         0.503219         0.905174          0.38158         0.187235
           7978         neutron          0.70981       0.00102637         0.305062        -0.095519         0.501545         0.573207        -0.819245        0.0164591
           7988         neutron         0.313161       0.00104158          0.92965         0.615948         0.502796         0.914929         0.399563        0.0570501
           8005         neutron           1.0174       0.00104804         0.740673          -0.4885         0.503484        -0.205746        -0.683786         0.700075
           8078         neutron          1.88278       0.00100394         0.729017        -0.603412         0.500233         0.735656         0.576461         0.355673
           8092         neutron         0.907754       0.00104226        -0.696904        -0.815588         0.502862          0.86955        -0.165415         0.465317
           8114         neutron          1.33847       0.00101316        -0.150566        -0.105186         0.500776         0.647161        -0.497547         0.577607
           8123         neutron          5.19466       0.00101602          0.26303         0.137834         0.500943         0.710927         0.690411         0.133847
           8127         neutron          1.19531       0.00100575           0.3916         0.233195          0.50034         0.398929          0.58222        -0.708432
           8143         neutron          2.89216       0.00104093          1.10271        -0.452812         0.502721         -0.75837        -0.386788        -0.524662
           8166         neutron          2.57642       0.00100992         0.882347          1.34147         0.500586         0.681015       -0.0435764        -0.730972
           8281         neutron          1.65911       0.00100134        -0.124341        0.0560205         0.500079         0.234041         0.932815        -0.274008
           8311         neutron         0.870056       0.00100148        -0.649005          1.13404         0.500088        -0.423683        -0.753537        -0.502668
           8367         neutron          1.10228       0.00102988        -0.351078          0.16011         0.501747          0.62787          -0.6499         0.428264
